xi,yi,xr,yr
71,19,0.6,0.267
102,15,0.6,0.17700000000000002
133,13,0.6,0.08700000000000002
166,14,0.6,-0.0030000000000000027
199,14,0.6,-0.09299999999999997
231,17,0.6,-0.18299999999999994
258,20,0.6,-0.273
65,43,0.51,0.267
95,40,0.51,0.17700000000000002
129,38,0.51,0.08700000000000002
166,39,0.51,-0.0030000000000000027
201,39,0.51,-0.09299999999999997
236,42,0.51,-0.18299999999999994
265,45,0.51,-0.273
56,74,0.42,0.267
89,71,0.42,0.17700000000000002
125,69,0.42,0.08700000000000002
165,69,0.42,-0.0030000000000000027
206,69,0.42,-0.09299999999999997
241,72,0.42,-0.18299999999999994
273,75,0.42,-0.273
49,106,0.32999999999999996,0.267
84,106,0.32999999999999996,0.17700000000000002
123,106,0.32999999999999996,0.08700000000000002
166,106,0.32999999999999996,-0.0030000000000000027
207,107,0.32999999999999996,-0.09299999999999997
246,106,0.32999999999999996,-0.18299999999999994
279,107,0.32999999999999996,-0.273
45,143,0.24,0.267
80,146,0.24,0.17700000000000002
120,147,0.24,0.08700000000000002
167,148,0.24,-0.0030000000000000027
210,148,0.24,-0.09299999999999997
251,146,0.24,-0.18299999999999994
284,144,0.24,-0.273
43,182,0.15000000000000002,0.267
76,188,0.15000000000000002,0.17700000000000002
119,191,0.15000000000000002,0.08700000000000002
164,192,0.15000000000000002,-0.0030000000000000027
211,191,0.15000000000000002,-0.09299999999999997
253,187,0.15000000000000002,-0.18299999999999994
287,182,0.15000000000000002,-0.273
